text	label
RT @janemere: Breakfast. #Kingsman Will the table manner scene ever got released...? Dying to see it. http://t.co/Siw7MLChx2 	0
RT @TFBOYS_THFANS: #Junkai #      Kingsman 2 : The Golden Circle_    	1
Review: When the Kingsman partner with the Statesman, located in Kentucky, every American stereotype is abused https://t.co/kJBcjZFU9o,	0
--Kingsman spoilers-- Merlin's end is the greatest character death I've ever seen. That's how I want to go. 	0
24. Kingsman. El c rculo de oro. https://t.co/0JXEvTjVxh 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/UrW8IaYtkr 	0
InFILMercials - Kingsman: The Secret Service: https://t.co/xuYuSm105w via @YouTube 	0
Me gust  un video de @YouTube https://t.co/g9NHIZ4wx1 Kingsman 2 Director on the Stupidity of the Film's Trailer Spoiler - IGN News 	0
RT @MeganMovieGirl: Halle Berry and Pedro Pascal Tease Romance Between Their Kingsman 2 Characters https://t.co/dPCzGxxlSx #Movies https://  	0
Oh kingsman 2 is out its dumb lit 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/hDYYu2OfVI 	0
Kingsman 2.   	1
I'm at Regal Cinemas Fredericksburg 14 - @regalmovies for Kingsman: The Golden Circle in Fredericksburg, VA https://t.co/KvOllRKzVe 	0
RT @TheEllenShow: I m not telling you to go see #Kingsman just because @ChanningTatum &amp; @HalleBerry are my friends. But they are, in case y 	1
RT @TheEllenShow: I m not telling you to go see #Kingsman just because @ChanningTatum &amp; @HalleBerry are my friends. But they are, in case y 	1
GOOD STREAM TODAY GAINED TEN NEW FOLLOWER ON MIXER GREAT DAY NOW TO GO SEE KINGSMAN TONIGHT AT 6 	0
Date night with my Bubba-Do     watching Kingsman: The Golden Circle at Ridge Park Cinemas https://t.co/ooVzTKFSiy 	0
I liked a @YouTube video https://t.co/EFVLq7zQHC Make it Real: Kingsman Umbrella Gun! 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/gRv2jdSDav 	0
We should go together @TheEllenShow !! https://t.co/k7C13qZw1V 	1
Kingsman: The Golden circle was amazing! @TaronEgerton definitely knows how to wear a suit _ #kingsman #TheGoldenCircle #mannersmakethman 	0
caraca, n posso perder esse novo kingsman 	0
I wanna see Kingsman 	0
Review: When the Kingsman partner with the Statesman, located in Kentucky, every American stereotype is abused https://t.co/Q284HxFqOV ww 	0
RT @GOTseries_Newz: A sex symbol on 'Game of Thrones,' Pedro Pascal is having a moment with 'Narcos' and 'Kingsman'   	0
With Kingsman: The Golden Circle now in cinemas, here's our interview with Taron Egerton from last year:... https://t.co/l5ktdmkTfd 	1
RT @joblocom: Matthew Vaughn begged Fox not to spoil Colin Firth's return in Kingsman 2 https://t.co/Iik8tQ8uKW https://t.co/GKupjseJv1 	0
RT @TheJeffBridges: I'm supporting the @helpforheroes #orangejacketchallenge nomination from @channingtatum and passing on to   	1
Almost like straight up crying in kingsman is my mood rn 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/61LuM5YXUO 	0
Kingsman is soooooo good 	0
RT @TheEllenShow: I m not telling you to go see #Kingsman just because @ChanningTatum &amp; @HalleBerry are my friends. But they are, in case y 	0
#MahiraKhan https://t.co/P4kK3Xm2xN 	1
I liked a @YouTube video https://t.co/OUBcqSclKs Kingsman: The Golden Circle | Official Trailer 2 [HD] | 20th Century FOX 	0
RT @Arielrocks5: The Kingsman franchise is just a R Rated Agent Cody Banks. 	0
@pdpatt I m in OKC tonight. Tryna go see Kingsman? 	0
I liked a @YouTube video https://t.co/o6acRFYmqb Kingsman: The Golden Circle - Movie Review 	0
RT @JamieLeBon74: #BoycottHollywood https://t.co/Pfzf1O6VGK 	0
I have a good chunk to say what was wrong with Kingsman: The Golden Circle, and a good chunk to say what was right about Kingsman today. 	0
Hasta el mi_rcoles no podr_ ver #Kingsman #ElC rculoDeOro. 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/zFZC7JV86Q 	0
RT @thisbemesara: THE PUG FROM THE FIRST KINGSMAN MOVIE ATTENDED PREMIERE FOR KINGSMAN THE GOLDEN CIRCLE IN LONDON AND HES WEARING A   	0
also *stares longingly at Kingsman* 	0
RT @TheEllenShow: I m not telling you to go see #Kingsman just because @ChanningTatum &amp; @HalleBerry are my friends. But they are, in case y 	0
https://t.co/TDzAfTr1xV #MahiraKhan  #SocialiteLawyer  #RanbirKapoor #PeacefulPakistan #Kingsman #florencespeech #GagaFiveFootTwo #dotard 	0
Kingsman today I think yes:) 	0
RT @joblocom: Matthew Vaughn begged Fox not to spoil Colin Firth's return in Kingsman 2 https://t.co/Iik8tQ8uKW https://t.co/GKupjseJv1 	0
Hopefully this Kingsman movie beats the first one. 	0
RT @gaykoriandr: me when a character in kingsman talking vs me when roxy breathes https://t.co/oas78takMd 	0
Ye Olde Cock Tavern, Fleet St, London. Photo by VeRoNik. | #architecture #viajar #Kingsman #tradingwisdom https://t.co/XvXQaoHLLm 	0
https://t.co/K7pbLrplmH 	0
https://t.co/qAN28bbcx4 	0
https://t.co/8rxrvrs5QQ 	0
Kingsman The Secret Service - Own in HD for $3.99 @ Amazon Video https://t.co/x8IO0BfssM 	1
_Kingsman:     (2017).     8   10   https://t.co/xZCeZOAZMc #kinopoisk #vkino 	1
